Processor Pool Total: 1140161264 Used:  255172304 Free:  884988960
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 477   0     411432     108728     356648     269527     269527 Crypto IKEv2
 478   0          0          0      29944          0          0 IKEv2 AAA handle
 479   0        448       1040      29944          0          0 CRYPTO MAP FREE
 480   0          0          0      53944          0          0 Crypto INT
 481   0        448       1000      53944          6          6 Crypto IKE Dispa
 482   0      44368       3632      94680          1          1 Crypto IKMP
 483   0          0          0      41944          0          0 IPSEC manual key
 484   0      44792       6056      92088          5          5 IPSEC key engine
 485   0          0          0     101944          0          0 Crypto ACL
 486   0          0          0      29944          0          0 Crypto PAS Proc
 487   0        448        448      29944          0          0 GKM GM Process
 488   0        432          0      30376          0          0 GKM KS PROCESS
 489   0          0          0      41944          0          0 SEGMENT ROUTING
 490   0          0          0      41944          0          0 SRMS_PROCESS
 491   0          0          0      29944          0          0 LS LIB
 492   0        896        448      54392          0          0 MMON PROCESS
 493   0          0          0      53944          0          0 CCSIP_EVENT_TRAC
 494   0      12992        448      66488          0          0 Sip MPA
 495   0     696632          0     738576          0          0 QOS_MODULE_MAIN
 496   0          0          0     101944          0          0 VoIP AAA
 497   0        432          0     102376          0          0 RPMS_PROC_MAIN
 498   0       1824          0     247768          0          0 http client proc
 499   0        592        592      29944          0          0 DiagCard2/-1
 500   0          0          0      29944          0          0 EPHONE MWI Refre
 501   0          0          0      29944          0          0 FB/KS Log HouseK
 502   0        448        448      29944          0          0 EPHONE MWI BG Pr
 503   0      10336          0      40280          0          0 Skinny HW confer
 504   0      35040        448      64536          0          0 Dialog Manager
 505   0        448        448      53944          0          0 VOICE REG BG Pro
 506   0        448        448      53944          0          0 CME Extension Mo
 507   0          0          0      29944          0          0 Presence Process
 508   0        896        448      30392          0          0 Lawful Intercept
 509   0        896        448      30392          0          0 LI messaging
 510   0          0          0      41944          0          0 Licensing MIB pr
 511   0       9160       8448      30656      59498      59498 LACP Protocol
 512   0   11477904   11477904      29944          0          0 Flash low disk s
 513   0     797736       3840     538928          9          9 BGP Router
 514   0        448        448      29944          0          0 ICRM
 515   0        408          0      30352          0          0 Online Diag EEM
 516   0          0          0      29944          0          0 SPA ENTITY Proce
 517   0       4496          0      34440          0          0 dcm_cli_engine
 518   0       9656        464      39272          0          0 dcm_cli_provider
 519   0      31064       5984      54960          0          0 DCM Core Thread
